year,dong_code,sido_name,sigungu_name,dong_name,population
2019,1126062000,서울특별시,중랑구,묵제1동,35836
2019,1126063000,서울특별시,중랑구,묵제2동,19664
2019,1126065500,서울특별시,중랑구,망우본동,30711
2019,1126066000,서울특별시,중랑구,망우제3동,17574
2019,1126068000,서울특별시,중랑구,신내1동,40717
2019,1126069000,서울특별시,중랑구,신내2동,21816
2019,1129052500,서울특별시,성북구,성북동,17054
2019,1129055500,서울특별시,성북구,삼선동,25337
2019,1129057500,서울특별시,성북구,동선동,15425
2019,1129058000,서울특별시,성북구,돈암제1동,15818
2019,1129059000,서울특별시,성북구,돈암제2동,24928
2019,1129060000,서울특별시,성북구,안암동,15406
2019,1129061000,서울특별시,성북구,보문동,16281
2019,1129062000,서울특별시,성북구,정릉제1동,18941
2019,1129063000,서울특별시,성북구,정릉제2동,23549
2019,1129064000,서울특별시,성북구,정릉제3동,15635
2019,1129065000,서울특별시,성북구,정릉제4동,26391
2019,1129066000,서울특별시,성북구,길음제1동,36881
2019,1129068500,서울특별시,성북구,길음제2동,16486
2019,1129070500,서울특별시,성북구,종암동,40190
2019,1129071500,서울특별시,성북구,월곡제1동,27325
2019,1129072500,서울특별시,성북구,월곡제2동,19947
2019,1129076000,서울특별시,성북구,장위제1동,20388
2019,1129077000,서울특별시,성북구,장위제2동,13732
2019,1129078000,서울특별시,성북구,장위제3동,17366
2019,1129081000,서울특별시,성북구,석관동,35570
2019,1130553400,서울특별시,강북구,삼양동,25345
2019,1130553500,서울특별시,강북구,미아동,22289
2019,1130554500,서울특별시,강북구,송중동,30549
2019,1130555500,서울특별시,강북구,송천동,28141
2019,1130557500,서울특별시,강북구,삼각산동,32767
2019,1130559500,서울특별시,강북구,번1동,19204
2019,1130560300,서울특별시,강북구,번2동,16967
2019,1130560800,서울특별시,강북구,번3동,18165
2019,1130561500,서울특별시,강북구,수유1동,21568
2019,1130562500,서울특별시,강북구,수유2동,21798
2019,1130563500,서울특별시,강북구,수유3동,23684
2019,1130564500,서울특별시,강북구,우이동,21247
2019,1130566000,서울특별시,강북구,인수동,32230
2019,1132051100,서울특별시,도봉구,창제1동,26101
2019,1132051200,서울특별시,도봉구,창제2동,30217
2019,1132051300,서울특별시,도봉구,창제3동,14678
2019,1132051400,서울특별시,도봉구,창제4동,27774
2019,1132051500,서울특별시,도봉구,창제5동,25684
2019,1132052100,서울특별시,도봉구,도봉제1동,22141
2019,1132052200,서울특별시,도봉구,도봉제2동,28564
2019,1132066000,서울특별시,도봉구,쌍문제1동,22112
2019,1132067000,서울특별시,도봉구,쌍문제2동,19825
2019,1132068000,서울특별시,도봉구,쌍문제3동,17086
2019,1132068100,서울특별시,도봉구,쌍문제4동,19766
2019,1132069000,서울특별시,도봉구,방학제1동,29761
2019,1132070000,서울특별시,도봉구,방학제2동,20950
2019,1132071000,서울특별시,도봉구,방학제3동,28703
2019,1135056000,서울특별시,노원구,월계1동,23200
2019,1135057000,서울특별시,노원구,월계2동,27140
2019,1135058000,서울특별시,노원구,월계3동,31396
2019,1135059500,서울특별시,노원구,공릉1동,38323
2019,1135060000,서울특별시,노원구,공릉2동,40443
2019,1135061100,서울특별시,노원구,하계1동,28687
2019,1135061200,서울특별시,노원구,하계2동,23258
2019,1135061900,서울특별시,노원구,중계본동,25804
2019,1135062100,서울특별시,노원구,중계1동,27979
2019,1135062400,서울특별시,노원구,중계4동,21259
2019,1135062500,서울특별시,노원구,중계2.3동,36609
2019,1135063000,서울특별시,노원구,상계1동,39955
2019,1135064000,서울특별시,노원구,상계2동,21044
2019,1135066500,서울특별시,노원구,상계3.4동,25697
2019,1135067000,서울특별시,노원구,상계5동,25335
2019,1135069500,서울특별시,노원구,상계6.7동,34492
2019,1135070000,서울특별시,노원구,상계8동,23904
2019,1135071000,서울특별시,노원구,상계9동,21825
2019,1135072000,서울특별시,노원구,상계10동,16555
2019,1138051000,서울특별시,은평구,녹번동,37959
2019,1138052000,서울특별시,은평구,불광제1동,40610
2019,1138053000,서울특별시,은평구,불광제2동,29249
2019,1138055100,서울특별시,은평구,갈현제1동,24288
2019,1138055200,서울특별시,은평구,갈현제2동,29771
2019,1138056000,서울특별시,은평구,구산동,33570
2019,1138057000,서울특별시,은평구,대조동,27522
2019,1138058000,서울특별시,은평구,응암제1동,25338
2019,1138059000,서울특별시,은평구,응암제2동,25241
2019,1138060000,서울특별시,은평구,응암제3동,25700
2019,1138062500,서울특별시,은평구,역촌동,48071
2019,1138063100,서울특별시,은평구,신사제1동,28320
2019,1138063200,서울특별시,은평구,신사제2동,21727
2019,1138064000,서울특별시,은평구,증산동,16027
2019,1138065000,서울특별시,은평구,수색동,8878
2019,1138069000,서울특별시,은평구,진관동,57761
2019,1141052000,서울특별시,서대문구,천연동,18393
2019,1141055500,서울특별시,서대문구,북아현동,17094
2019,1141056500,서울특별시,서대문구,충현동,17649
2019,1141058500,서울특별시,서대문구,신촌동,18703
2019,1141061500,서울특별시,서대문구,연희동,38054
2019,1141062000,서울특별시,서대문구,홍제제1동,24701
2019,1141064000,서울특별시,서대문구,홍제제3동,16245
2019,1141065500,서울특별시,서대문구,홍제제2동,14444
2019,1141066000,서울특별시,서대문구,홍은제1동,22556
2019,1141068500,서울특별시,서대문구,홍은제2동,27571
2019,1141069000,서울특별시,서대문구,남가좌제1동,16602
2019,1141070000,서울특별시,서대문구,남가좌제2동,24939
2019,1141071000,서울특별시,서대문구,북가좌제1동,19010
2019,1141072000,서울특별시,서대문구,북가좌제2동,33436
2019,1144055500,서울특별시,마포구,아현동,24856
2019,1144056500,서울특별시,마포구,공덕동,39776
2019,1144058500,서울특별시,마포구,도화동,22311
2019,1144059000,서울특별시,마포구,용강동,21920
2019,1144060000,서울특별시,마포구,대흥동,11548
2019,1144061000,서울특별시,마포구,염리동,12495
2019,1144063000,서울특별시,마포구,신수동,23353
2019,1144065500,서울특별시,마포구,서강동,25165
2019,1144066000,서울특별시,마포구,서교동,24152
2019,1144068000,서울특별시,마포구,합정동,18721
2019,1144069000,서울특별시,마포구,망원제1동,21477
2019,1144070000,서울특별시,마포구,망원제2동,19182
2019,1144071000,서울특별시,마포구,연남동,15849
2019,1144072000,서울특별시,마포구,성산제1동,19769
2019,1144073000,서울특별시,마포구,성산제2동,41236
2019,1144074000,서울특별시,마포구,상암동,32225
2019,1147051000,서울특별시,양천구,목1동,31940
2019,1147052000,서울특별시,양천구,목2동,31191
2019,1147053000,서울특별시,양천구,목3동,22904
2019,1147054000,서울특별시,양천구,목4동,26669
2019,1147055000,서울특별시,양천구,목5동,42885
2019,1147056000,서울특별시,양천구,신월1동,21430
2019,1147057000,서울특별시,양천구,신월2동,21931
2019,1147058000,서울특별시,양천구,신월3동,16475
2019,1147059000,서울특별시,양천구,신월4동,18932
2019,1147060000,서울특별시,양천구,신월5동,15408
2019,1147061000,서울특별시,양천구,신월6동,6573
2019,1147061100,서울특별시,양천구,신월7동,21460
2019,1147062000,서울특별시,양천구,신정1동,21412
2019,1147063000,서울특별시,양천구,신정2동,20500
2019,1147064000,서울특별시,양천구,신정3동,47718
