school_code,seoutguse_gubun,hr_operation_krw,student_welfare_krw,edu_activity_support_krw,general_operation_krw,facility_expansion_krw,financial_activity_krw,fiscal_year
S090001210,예산세출,7240000,721460000,61586000,356582000,600000,0,2025
S090001211,예산세출,5940000,588906000,57176000,369271000,0,0,2025
S090001212,예산세출,5890000,624528000,39398000,339814000,0,0,2025
S090001213,예산세출,14200000,994361000,62605000,367533000,0,0,2025
S090001214,예산세출,1960000,92610000,20045000,256673000,0,0,2025
S090001215,예산세출,5870000,467691000,38973000,321014000,0,0,2025
S090001216,예산세출,3200000,263596000,19636000,234656000,0,0,2025
S090001217,예산세출,9240000,1407949000,136110000,405012000,0,0,2025
S090001218,예산세출,10393000,506992000,53425000,265945000,0,0,2025
S090001219,예산세출,1500000,469525000,60546000,251123000,0,0,2025
S090001220,예산세출,2630000,588986000,48000000,389457000,0,0,2025
S090001221,예산세출,3200000,441764000,59005000,277080000,0,0,2025
S090001279,예산세출,4450000,315333000,35931000,304951000,0,0,2025
S090001281,예산세출,17328000,560529000,34510000,383407000,0,0,2025
S090001282,예산세출,12800000,1109800000,48577000,425504000,0,0,2025
S090001284,예산세출,11400000,773791000,58800000,375704000,0,0,2025
S090001285,예산세출,8450000,1118135000,46464000,391303000,0,7000000,2025
S090001286,예산세출,4900000,743821000,51990000,420722000,0,0,2025
S090001288,예산세출,3920000,109393000,31585000,226534000,0,0,2025
S090001289,예산세출,2660000,25190000,15034000,263572000,0,0,2025
S090001290,예산세출,2500000,705273000,51048000,372782000,0,0,2025
S090001291,예산세출,6700000,1010893000,74080000,356978000,0,0,2025
S090001292,예산세출,5700000,88746000,47096000,212139000,0,0,2025
S090001293,예산세출,8120000,620754000,56232000,305101000,0,0,2025
S090001294,예산세출,3850000,372155000,100681000,314467000,0,0,2025
S090001295,예산세출,1490000,441168000,24800000,272908000,0,0,2025
S090001296,예산세출,4400000,738836000,39349000,383397000,0,0,2025
S090001298,예산세출,5920000,90442000,50498000,217207000,0,10000,2025
S090001299,예산세출,14610000,1634986000,135586000,455413000,0,0,2025
S090001301,예산세출,3800000,447028000,20270000,214476000,0,100000,2025
S090001302,예산세출,2660000,43553000,38070000,203990000,0,0,2025
S090001305,예산세출,8290000,81186000,33390000,273685000,0,0,2025
S090001306,예산세출,6600000,502791000,43498000,377019000,0,20000,2025
S090001307,예산세출,5170000,280038000,18396000,269243000,26151000,0,2025
S090001308,예산세출,1500000,24343000,27878000,229607000,0,0,2025
S090001309,예산세출,14850000,1048235000,47713000,419658000,0,0,2025
S090001310,예산세출,1440000,521750000,50630000,295041000,0,0,2025
S090001311,예산세출,0,562219000,53564000,386435000,0,0,2025
S090001312,예산세출,13490000,269539000,66796000,327735000,0,0,2025
