school_code,seoutguse_gubun,hr_operation_krw,student_welfare_krw,edu_activity_support_krw,general_operation_krw,facility_expansion_krw,financial_activity_krw,fiscal_year
S090002470,예산세출,10100000,1592417000,97304000,428876000,0,1600000,2025
S090002471,예산세출,4710000,612504000,41390000,299476000,0,2000000,2025
S090002472,예산세출,7550000,738041000,51990000,290157000,0,50000,2025
S090002473,예산세출,8100000,457243000,38682000,284010000,0,7000,2025
S090002474,예산세출,4100000,289933000,35531000,259597000,0,0,2025
S090002475,예산세출,7800000,424966000,39302000,303739000,0,1000000,2025
S090002477,예산세출,6090000,627028000,66399000,285304000,0,0,2025
S090002478,예산세출,10020000,341914000,42270000,365643000,0,100000,2025
S090002479,예산세출,8700000,820992000,72358000,390317000,0,0,2025
S090002480,예산세출,9090000,359774000,34366000,266467000,0,0,2025
S090002482,예산세출,5170000,352595000,62767000,254622000,0,0,2025
S090002483,예산세출,4820000,506587000,33419000,308682000,0,34000,2025
S090002484,예산세출,20370000,1223637000,88797000,264000000,0,100000,2025
S090002485,예산세출,6690000,756508000,64299000,319635000,0,125300000,2025
S090002486,예산세출,2200000,348054000,44047000,310914000,0,2840000,2025
S090002487,예산세출,10460000,1132335000,130645000,412230000,0,7500000,2025
S090002488,예산세출,9310000,1023523000,65742000,361095000,0,20000,2025
S090002489,예산세출,18230000,603058000,38100000,258416000,0,1000,2025
S090002490,예산세출,3316000,484698000,32466000,303497000,0,100000,2025
S090002491,예산세출,2800000,599706000,50062000,266795000,0,318000,2025
S090002492,예산세출,7570000,592384000,27800000,322746000,0,2500000,2025
S090002493,예산세출,3600000,315008000,37864000,257485000,0,0,2025
S090002494,예산세출,6550000,510126000,30673000,323171000,22000000,0,2025
S090002495,예산세출,9240000,537370000,43363000,275277000,0,249000,2025
S090002496,예산세출,8890000,607859000,32824000,286706000,1000000,0,2025
S090002497,예산세출,7790000,539715000,61206000,336563000,0,0,2025
S090002498,예산세출,4710000,1002482000,51758000,437759000,0,4310000,2025
S090002499,예산세출,7460000,550882000,41250000,307663000,0,132000,2025
S090002500,예산세출,7000000,1343737000,72867000,382374000,0,500000,2025
S090002501,예산세출,4500000,618822000,61690000,281909000,0,50000,2025
S090002502,예산세출,6230000,676521000,58390000,294386000,0,50000,2025
S090002503,예산세출,7460000,482134000,41625000,255486000,0,0,2025
S090002506,예산세출,11300000,466464000,36950000,304101000,0,2500000,2025
S090002507,예산세출,8170000,525420000,32683000,243900000,0,0,2025
S090002508,예산세출,7550000,584149000,33155000,281116000,0,0,2025
S090002509,예산세출,5790000,780793000,55346000,359968000,0,7479000,2025
S090002510,예산세출,1970000,552763000,57150000,314821000,0,50000,2025
S090002511,예산세출,6650000,857915000,64266000,375588000,0,23765000,2025
S090002512,예산세출,8360000,529094000,56257000,306899000,0,10100000,2025
S090002513,예산세출,6900000,967008000,56374000,373952000,0,3000000,2025
S090002514,예산세출,7750000,712825000,39055000,334872000,0,68918000,2025
S090002515,예산세출,5080000,357905000,57150000,276387000,0,2005000,2025
S090002516,예산세출,4350000,500349000,38099000,261355000,0,0,2025
S090002517,예산세출,5790000,453560000,47686000,272542000,0,0,2025
S090002518,예산세출,9032000,494630000,80248000,280515000,0,0,2025
S090002519,예산세출,10150000,852823000,53785000,341326000,0,0,2025
S090002520,예산세출,6480000,771788000,52959000,364680000,0,0,2025
S090002521,예산세출,9940000,241875000,23020000,276098000,0,0,2025
S090002522,예산세출,3080000,310611000,28616000,284901000,0,0,2025
S090002523,예산세출,990000,382683000,52304000,235633000,0,2000,2025
S090002524,예산세출,6620000,339481000,26753000,272145000,0,2100000,2025
S090002525,예산세출,3750000,391021000,29556000,325607000,0,178000,2025
S090002715,예산세출,6770000,548943000,53084000,294994000,0,0,2025
S090002716,예산세출,5600000,615181000,51344000,418448000,0,0,2025
S090002718,예산세출,9250000,469063000,40842000,300841000,0,0,2025
S090002719,예산세출,3830000,122568000,24720000,260645000,0,0,2025
S090002720,예산세출,8760000,600027000,85719000,299112000,0,0,2025
S090002721,예산세출,4980000,1341443000,97462000,481319000,0,0,2025
S090002722,예산세출,10640000,978602000,68104000,319907000,0,0,2025
S090002723,예산세출,2100000,713249000,40216000,336301000,0,0,2025
S090002724,예산세출,12160000,937698000,108199000,363034000,0,0,2025
S090002725,예산세출,9526000,479980000,39376000,309414000,0,0,2025
S090002726,예산세출,3370000,306132000,28257000,276037000,0,0,2025
S090002727,예산세출,10710000,199014000,22315000,258047000,23140000,2000000,2025
S090002729,예산세출,8710000,170655000,24311000,220905000,0,0,2025
S090002730,예산세출,12730000,288135000,51643000,197813000,0,0,2025
S090002731,예산세출,7110000,478425000,48569000,314272000,0,0,2025
S090002732,예산세출,7700000,457782000,39697000,286243000,0,0,2025
S090002733,예산세출,4780000,569131000,80239000,320137000,0,0,2025
S090002734,예산세출,660000,289513000,14836000,277469000,0,0,2025
S090002735,예산세출,8700000,488654000,59776000,286803000,0,0,2025
S090002736,예산세출,5380000,481614000,22602000,278159000,0,0,2025
S090002737,예산세출,2650000,200079000,37039000,291813000,3000000,0,2025
S090002738,예산세출,3330000,326780000,35889000,329235000,0,0,2025
S090002739,예산세출,7000000,932190000,70125000,407649000,0,0,2025
S090002740,예산세출,12930000,902753000,56735000,412192000,0,0,2025
S090002741,예산세출,10670000,733484000,81616000,295596000,0,0,2025
S090002742,예산세출,11020000,739037000,54161000,334530000,0,0,2025
S090002743,예산세출,2490000,439285000,39590000,373876000,0,0,2025
S090002744,예산세출,9950000,969184000,77316000,377105000,0,0,2025
S090002745,예산세출,5700000,668498000,44459000,426107000,0,0,2025
S090002746,예산세출,6350000,727082000,73192000,306578000,0,0,2025
S090002747,예산세출,9100000,481661000,68277000,307730000,0,0,2025
S090002749,예산세출,6100000,698549000,49520000,361209000,0,0,2025
S090002750,예산세출,4660000,430971000,45635000,292727000,0,0,2025
S090002751,예산세출,4000000,309808000,38200000,288938000,0,0,2025
S090002752,예산세출,6500000,680406000,91902000,328429000,0,0,2025
S090002753,예산세출,8650000,798996000,45374000,339350000,0,0,2025
S090002755,예산세출,10940000,536402000,65189000,356041000,0,0,2025
S090002756,예산세출,2920000,606196000,74670000,262062000,0,40000000,2025
S090002757,예산세출,9180000,589839000,63860000,287694000,0,0,2025
S090002758,예산세출,8050000,669191000,36864000,316081000,0,0,2025
S090002759,예산세출,5930000,510815000,45908000,347841000,0,0,2025
S090002760,예산세출,4670000,505082000,61243000,280509000,0,0,2025
S090002761,예산세출,11735000,638116000,72447000,301624000,0,0,2025
S090002762,예산세출,2969000,714450000,35970000,380941000,0,0,2025
S090002764,예산세출,3480000,380250000,36284000,270092000,0,0,2025
S090002765,예산세출,6450000,539202000,48053000,305706000,0,0,2025
S090002766,예산세출,5680000,546212000,45907000,288819000,0,0,2025
S090002767,예산세출,9800000,948128000,79519000,312988000,0,0,2025
S090002768,예산세출,8200000,1072183000,57392000,367162000,0,0,2025
S090002769,예산세출,9874000,860649000,97017000,372697000,0,0,2025
S090002770,예산세출,9740000,749707000,46361000,294865000,0,0,2025
S090002771,예산세출,3060000,919476000,69135000,330010000,0,0,2025
S090002772,예산세출,5330000,297934000,43048000,296385000,0,150000,2025
S090002773,예산세출,14880000,752363000,59949000,356771000,0,0,2025
S090002774,예산세출,4360000,346369000,35759000,285511000,0,0,2025
S090002775,예산세출,7920000,442293000,53308000,276741000,0,0,2025
S090002776,예산세출,6700000,807822000,50956000,330595000,0,0,2025
S090002778,예산세출,9940000,781289000,81058000,335135000,0,0,2025
S090002779,예산세출,6990000,1134715000,67430000,412302000,0,0,2025
S090002780,예산세출,4850000,829852000,140396000,354799000,1560000,0,2025
S090002781,예산세출,5009000,741808000,66358000,282947000,0,10000,2025
S090002782,예산세출,11550000,905500000,60990000,440709000,0,0,2025
S090002783,예산세출,4443000,435442000,26096000,291319000,0,0,2025
S090002784,예산세출,3060000,499797000,34520000,311204000,0,0,2025
S090002786,예산세출,8630000,1342066000,70020000,505774000,0,0,2025
S090002787,예산세출,5770000,986613000,69676000,426357000,0,80000,2025
S090002788,예산세출,8500000,757141000,60642000,323468000,0,0,2025
S090002789,예산세출,3450000,181072000,34398000,240839000,0,0,2025
S090002790,예산세출,3350000,319948000,26763000,352379000,0,0,2025
S090002791,예산세출,5660000,522902000,37842000,303633000,0,0,2025
S090002792,예산세출,7800000,1225697000,72632000,386814000,0,0,2025
S090002793,예산세출,3680000,538109000,79531000,325516000,0,0,2025
S090002927,예산세출,4660000,459745000,30444000,227060000,0,0,2025
S090002928,예산세출,7940000,98330000,22054000,231724000,0,0,2025
S090002929,예산세출,6450000,97618000,20011000,219217000,0,0,2025
S090002931,예산세출,15160000,1658314000,101328000,466237000,2000000,0,2025
S090002933,예산세출,5300000,304972000,28090000,288326000,0,0,2025
S090002934,예산세출,6260000,99897000,29734000,219759000,0,0,2025
S090002935,예산세출,7200000,277281000,35583000,388050000,0,0,2025
S090002936,,0,0,0,0,0,0,2025
S090002937,예산세출,2650000,356805000,29890000,365751000,0,0,2025
S090002938,예산세출,8200000,151548000,17139000,198452000,0,0,2025
S090002940,예산세출,9575000,212953000,28797000,264124000,0,0,2025
S090002941,예산세출,5740000,102463000,12820000,197433000,0,0,2025
S090002942,예산세출,13950000,126354000,20590000,190266000,0,0,2025
S090002943,예산세출,9810000,505269000,64394000,318837000,0,0,2025
S090002944,예산세출,6420000,470118000,33020000,221150000,0,0,2025
S090002945,예산세출,5720000,413832000,38067000,204275000,0,0,2025
S090002947,예산세출,14430000,1122347000,92308000,356886000,0,0,2025
S090002948,예산세출,6725000,147562000,14710000,187558000,0,0,2025
S090002949,예산세출,6810000,123193000,37911000,204759000,0,0,2025
S090002950,예산세출,6260000,1167189000,96046000,445220000,0,0,2025
S090002951,예산세출,9170000,75561000,34388000,165713000,0,0,2025
S090002952,예산세출,6850000,473522000,50642000,226404000,0,0,2025
S090002954,예산세출,4660000,106424000,45172000,233954000,0,0,2025
S090002956,예산세출,9550000,619456000,82160000,325761000,0,0,2025
S090002957,예산세출,6090000,488138000,19223000,118771000,1000000,0,2025
S090002959,예산세출,18647000,855512000,62706000,371704000,1500000,0,2025
S090002960,예산세출,10760000,722351000,56178000,314368000,0,0,2025
S090002961,예산세출,7530000,279039000,22892000,239306000,0,0,2025
S090002963,예산세출,4950000,330567000,25876000,274341000,17000000,0,2025
S090002967,예산세출,11640000,408611000,43619000,245617000,0,0,2025
S090002968,예산세출,5490000,77512000,23134000,211002000,0,0,2025
S090002969,예산세출,5720000,101700000,18880000,172978000,0,0,2025
S090003042,예산세출,2100000,676827000,55674000,365377000,0,0,2025
S090003043,예산세출,4500000,556579000,90815000,324331000,0,0,2025
S090003044,예산세출,5070000,486669000,55806000,335579000,0,0,2025
S090003045,예산세출,16580000,1587371000,68303000,493430000,0,100000,2025
S090003046,예산세출,7900000,251744000,25100000,227874000,8300000,0,2025
S090003047,예산세출,4580000,871814000,89794000,450242000,0,500000,2025
S090003049,예산세출,2300000,586331000,59079000,310269000,0,0,2025
S090003050,예산세출,7530000,433890000,46756000,361077000,0,0,2025
S090003051,예산세출,8340000,326851000,54528000,288239000,0,150000,2025
S090003052,예산세출,13400000,1892135000,158356000,517156000,0,0,2025
S090003053,예산세출,6060000,540314000,69250000,306956000,0,0,2025
S090003054,예산세출,11185000,916379000,66404000,387335000,0,200000,2025
S090003055,예산세출,7360000,713254000,66738000,395440000,0,0,2025
S090003056,예산세출,6390000,798148000,80447000,293670000,0,0,2025
S090003057,예산세출,13930000,718258000,56276000,413323000,0,0,2025
S090003060,예산세출,7700000,501671000,58061000,297876000,0,0,2025
S090003061,예산세출,8330000,793995000,43008000,364255000,0,0,2025
S090003062,예산세출,9550000,952105000,92500000,381824000,0,0,2025
S090003063,예산세출,8100000,425686000,36848000,351509000,0,4000000,2025
S090003065,예산세출,8730000,562716000,51280000,327912000,0,50000,2025
S090003066,예산세출,5000000,269058000,62219000,261655000,0,0,2025
S090003067,예산세출,5630000,484042000,44718000,214222000,0,0,2025
S090003068,예산세출,13235000,1290051000,78605000,373326000,0,0,2025
S090003069,예산세출,8840000,939890000,71490000,370713000,0,0,2025
S090003070,예산세출,8410000,567056000,36441000,365870000,0,0,2025
S090003071,예산세출,13540000,697670000,82713000,299672000,0,0,2025
S090003072,예산세출,4090000,441943000,34900000,330038000,0,100000,2025
S090003073,예산세출,8700000,795329000,88470000,312339000,0,0,2025
S090003074,예산세출,7268000,412758000,49791000,257570000,0,100000,2025
S090003075,예산세출,11350000,728412000,75374000,360579000,0,0,2025
S090003076,예산세출,7590000,1233638000,67510000,304257000,0,300000,2025
S090003077,예산세출,8200000,583809000,58364000,351322000,0,0,2025
S090003079,예산세출,4210000,747704000,68769000,307467000,0,0,2025
S090003080,예산세출,4460000,661545000,52541000,341386000,0,0,2025
S090003082,예산세출,9900000,880492000,115445000,355629000,20000000,0,2025
S090003083,예산세출,11610000,1181883000,95962000,414989000,0,0,2025
S090003084,예산세출,9210000,841716000,27192000,319036000,0,0,2025
S090003085,예산세출,10260000,1088342000,67780000,458502000,0,0,2025
S090003086,예산세출,6060000,1511542000,64167000,476811000,0,0,2025
S090003088,예산세출,8450000,231921000,26602000,292600000,0,0,2025
S090003216,예산세출,14070000,164063000,38278000,315502000,0,0,2025
S090003217,예산세출,11702000,62631000,18954000,262786000,0,0,2025
S090003218,예산세출,4508000,56417000,28946000,222604000,0,0,2025
S090003220,예산세출,3965000,87855000,23176000,196620000,0,0,2025
S090003223,예산세출,10630000,147179000,73662000,346388000,0,0,2025
S090003230,예산세출,7764000,167314000,31570000,235803000,0,0,2025
S090003240,예산세출,15493000,596570000,47579000,267967000,0,0,2025
S090003244,예산세출,5690000,170279000,23364000,219340000,0,0,2025
S090003245,예산세출,7985000,63023000,21186000,228083000,0,0,2025
S090003247,예산세출,16182000,241979000,28484000,338970000,0,0,2025
S090003248,,0,0,0,0,0,0,2025
S090003251,예산세출,7964000,71765000,8343000,235639000,0,0,2025
S090003252,예산세출,7500000,92920000,39394000,292319000,0,0,2025
S090003253,예산세출,4010000,112346000,18394000,199712000,0,0,2025
S090003255,예산세출,8140000,572844000,75072000,299391000,0,0,2025
S090003257,예산세출,7810000,150777000,92069000,451805000,0,0,2025
S090003259,예산세출,4800000,283745000,34154000,249006000,0,0,2025
S090003261,예산세출,7350000,103003000,15562000,227536000,0,0,2025
S090003262,예산세출,7890000,58398000,21410000,235993000,0,0,2025
S090003267,예산세출,6952000,295439000,17820000,293565000,0,0,2025
S090003268,예산세출,5890000,52118000,31020000,251246000,0,0,2025
S090003270,예산세출,5300000,136462000,21785000,212676000,0,0,2025
S090003326,예산세출,8820000,593287000,50550000,283384000,0,500000,2025
S090003328,예산세출,5740000,159773000,18380000,245620000,0,30000,2025
S090003333,예산세출,7550000,103207000,18906000,202008000,0,400000,2025
S090003335,예산세출,8710000,130116000,15598000,247874000,0,0,2025
S090003336,예산세출,4840000,417881000,59900000,192645000,0,21871000,2025
S090003338,예산세출,5330000,302184000,14630000,220848000,0,0,2025
S090003340,예산세출,1380000,85797000,21274000,176761000,0,10000,2025
S090003341,예산세출,5597000,112580000,18364000,232816000,10000000,0,2025
S090003342,예산세출,4340000,68203000,52381000,422871000,0,60000,2025
S090003343,,0,0,0,0,0,0,2025
S090003346,예산세출,4130000,169920000,34217000,246941000,0,10000,2025
S090003348,예산세출,5030000,109413000,23300000,176982000,0,10000,2025
S090003349,예산세출,3890000,24967000,29488000,162349000,15000000,100000,2025
S090003351,예산세출,11624000,596191000,63746000,447014000,0,0,2025
S090003352,예산세출,5070000,851910000,36280000,333418000,0,100000,2025
S090003353,예산세출,1720000,37619000,15172000,276282000,0,0,2025
S090003354,예산세출,3150000,42679000,13675000,251414000,0,1000,2025
S090003355,예산세출,6884000,1080621000,74971000,503749000,0,100000,2025
S090003358,예산세출,3850000,55514000,46232000,302155000,0,1789000,2025
S090003359,,0,0,0,0,0,0,2025
S090003360,예산세출,3060000,226344000,14470000,257287000,0,0,2025
S090003363,예산세출,4810000,278803000,58660000,283896000,1000000,300000,2025
S090003365,예산세출,3814000,264739000,19980000,244187000,0,1000,2025
S090003368,예산세출,2350000,94651000,20658000,232541000,22579000,0,2025
S090003414,예산세출,4910000,147342000,30010000,184487000,0,0,2025
S090003417,예산세출,5660000,44256000,28773000,204824000,0,0,2025
S090003419,예산세출,11700000,149427000,24250000,198051000,0,0,2025
S090003423,예산세출,3350000,62261000,26409000,204809000,0,0,2025
S090003424,예산세출,7670000,193161000,24357000,178224000,9784000,0,2025
S090003426,예산세출,4000000,45586000,17483000,219658000,0,0,2025
S090003428,예산세출,2160000,74783000,19885000,186228000,300000,0,2025
S090003429,예산세출,4720000,170297000,25466000,216995000,0,0,2025
S090003431,예산세출,2990000,130911000,43540000,236883000,0,0,2025
S090003437,예산세출,6210000,73777000,31673000,216991000,0,0,2025
S090003438,예산세출,11700000,615155000,111606000,360574000,1100000,0,2025
S090003441,예산세출,3800000,241325000,25800000,226834000,0,0,2025
S090003442,예산세출,13660000,48483000,54070000,191482000,0,0,2025
S090003495,예산세출,8430000,351304000,47640000,254829000,0,0,2025
S090003496,예산세출,12260000,585655000,63312000,384210000,0,0,2025
S090003497,예산세출,3200000,244385000,210888000,275746000,0,0,2025
S090003498,예산세출,7350000,513530000,44588000,284523000,0,0,2025
S090003499,예산세출,6957000,750673000,67158000,308292000,0,0,2025
S090003500,예산세출,4200000,330797000,36360000,256498000,0,0,2025
S090003501,예산세출,11075000,1638171000,119320000,461807000,0,0,2025
S090003502,예산세출,6240000,172559000,41876000,211094000,0,7256000,2025
S090003504,예산세출,11021000,32369000,9948000,260205000,0,0,2025
S090003505,예산세출,12160000,939707000,80702000,295392000,0,0,2025
S090003506,예산세출,7250000,592134000,33584000,344975000,0,0,2025
S090003507,예산세출,8280000,414978000,32719000,266624000,0,0,2025
S090003508,예산세출,1630000,525372000,38250000,313965000,0,0,2025
S090003509,예산세출,8500000,1307169000,88340000,414020000,0,0,2025
S090003511,예산세출,7800000,800488000,87529000,297995000,0,0,2025
S090003512,예산세출,1990000,64620000,29719000,305529000,0,0,2025
S090003513,예산세출,4300000,691142000,69566000,186175000,0,0,2025
S090003514,예산세출,5880000,211113000,36856000,250847000,0,0,2025
S090003515,예산세출,3450000,91891000,47244000,194095000,0,1100000,2025
S090003516,예산세출,2090000,342172000,25828000,470770000,0,0,2025
S090003517,,0,0,0,0,0,0,2025
S090003518,예산세출,4000000,278790000,22444000,277733000,0,0,2025
S090003519,예산세출,3450000,812579000,58654000,353643000,0,0,2025
S090003520,예산세출,8955000,695123000,60370000,299376000,235125000,0,2025
S090003521,예산세출,5800000,513608000,38870000,347420000,0,0,2025
S090003522,예산세출,4720000,545653000,49248000,356970000,0,0,2025
S090003523,예산세출,13390000,1097465000,110650000,372854000,0,0,2025
S090003524,예산세출,7255000,639461000,28576000,391072000,0,0,2025
S090003525,예산세출,5400000,740394000,82932000,402741000,0,0,2025
S090003526,예산세출,4700000,608028000,42385000,385722000,188374000,0,2025
S090003527,예산세출,7600000,936654000,59397000,387097000,0,0,2025
S090003528,예산세출,10080000,528425000,37576000,351381000,0,0,2025
S090003529,예산세출,9661000,729892000,31866000,383366000,300000,0,2025
S090003530,예산세출,4700000,423654000,24894000,257957000,0,0,2025
S090003532,예산세출,12420000,1994053000,103767000,498550000,0,0,2025
S090003534,예산세출,4850000,1137251000,73673000,372428000,0,0,2025
S090003535,예산세출,3450000,681066000,38060000,379350000,0,0,2025
S090003536,예산세출,13100000,832975000,40494000,366800000,0,0,2025
S090003537,예산세출,6600000,1061019000,79492000,337599000,600000,0,2025
S090003539,예산세출,8210000,633638000,45960000,330678000,0,0,2025
S090003540,예산세출,11150000,852129000,81512000,329698000,0,0,2025
S090003541,예산세출,3820000,575837000,72851000,271102000,0,0,2025
S090003542,예산세출,9010000,906589000,81086000,313690000,0,0,2025
S090003543,예산세출,4220000,660211000,80111000,298396000,0,0,2025
S090003544,예산세출,3190000,875373000,51298000,357596000,0,2000,2025
S090003545,예산세출,1320000,399324000,49047000,274603000,0,0,2025
S090003546,예산세출,4938000,261157000,23653000,252068000,0,0,2025
S090003547,예산세출,6800000,393617000,24950000,214035000,200000,0,2025
S090003550,예산세출,6680000,828868000,62900000,342334000,0,0,2025
S090003551,예산세출,4490000,93950000,42076000,212241000,0,0,2025
S090003552,예산세출,13380000,786653000,98530000,404268000,0,0,2025
S090003553,예산세출,2720000,361975000,72526000,243052000,0,0,2025
S090003554,예산세출,5170000,265241000,30537000,250645000,0,0,2025
S090003555,예산세출,3120000,328793000,30630000,312196000,0,0,2025
S090003556,예산세출,10950000,1181976000,73269000,361974000,0,0,2025
S090003558,예산세출,8120000,820539000,65576000,345353000,0,0,2025
S090003559,예산세출,9000000,636937000,62244000,359887000,1100000,0,2025
S090003560,예산세출,10800000,1033084000,128942000,369828000,0,0,2025
S090003561,예산세출,5850000,890168000,51741000,380124000,0,0,2025
S090003562,예산세출,5540000,296101000,46782000,236203000,0,0,2025
S090003563,예산세출,3855000,632196000,36429000,385014000,0,0,2025
S090003656,예산세출,5550000,987324000,87444000,388360000,3000000,0,2025
S090003657,예산세출,9425000,1026425000,61160000,248150000,46628000,50000,2025
S090003658,예산세출,17550000,1266421000,87550000,513166000,0,0,2025
S090003659,예산세출,3534000,336103000,47528000,297792000,0,1121000,2025
S090003660,예산세출,4440000,712003000,47230000,260304000,0,0,2025
S090003661,예산세출,6370000,625737000,31684000,306274000,0,0,2025
S090003662,예산세출,6700000,836658000,117943000,330885000,0,0,2025
S090003663,예산세출,6440000,672039000,53254000,269085000,0,600000,2025
S090003664,예산세출,11000000,604557000,44868000,299828000,0,231000,2025
S090003665,예산세출,9650000,972132000,51689000,392330000,0,0,2025
S090003666,예산세출,15050000,779515000,56008000,337511000,0,0,2025
S090003667,예산세출,10220000,927879000,81979000,307174000,0,0,2025
S090003669,예산세출,8210000,598316000,52272000,323103000,0,0,2025
S090003670,예산세출,9680000,237572000,36320000,291069000,0,0,2025
S090003671,예산세출,5210000,773334000,52620000,357079000,0,100000,2025
S090003673,예산세출,8490000,731978000,49804000,348843000,0,266000,2025
S090003674,예산세출,7110000,538904000,46338000,317688000,0,653000,2025
S090003675,예산세출,7960000,633396000,43498000,301104000,0,2340000,2025
S090003676,예산세출,8060000,805512000,53902000,326676000,2080000,100000,2025
S090003677,예산세출,11300000,674032000,83400000,281410000,0,551000,2025
S090003678,예산세출,3450000,352004000,31576000,295844000,0,32000,2025
S090003679,예산세출,3780000,560842000,34934000,272667000,0,460000,2025
S090003680,예산세출,4530000,448956000,75960000,241378000,0,10000,2025
S090003681,예산세출,12060000,443740000,62072000,267368000,0,0,2025
S090003682,예산세출,5000000,1134507000,138122000,383024000,0,0,2025
S090003685,예산세출,6600000,582885000,67954000,269793000,0,0,2025
S090003686,예산세출,5680000,639482000,56330000,308540000,0,0,2025
S090003758,예산세출,4966000,159678000,14200000,259890000,0,0,2025
S090003760,예산세출,5750000,31558000,12815000,230282000,0,0,2025
S090003762,예산세출,7430000,247616000,32096000,249443000,0,0,2025
S090003763,예산세출,5600000,467985000,53410000,295034000,0,0,2025
S090003764,예산세출,3770000,90099000,29164000,272710000,0,0,2025
S090003766,예산세출,0,1077357000,97796000,342989000,0,0,2025
S090003772,예산세출,7900000,276586000,26400000,221169000,0,0,2025
S090003774,예산세출,6760000,420094000,48236000,300350000,0,0,2025
S090003776,예산세출,7970000,1089932000,66692000,402897000,0,0,2025
S090003777,예산세출,6188000,61220000,24168000,219901000,0,0,2025
S090003778,예산세출,2820000,97286000,10510000,172737000,0,0,2025
S090003779,예산세출,6770000,651398000,45570000,295298000,0,0,2025
S090003780,예산세출,12610000,142740000,69342000,377574000,0,0,2025
S090003781,예산세출,9950000,1065080000,58710000,408796000,0,0,2025
S090003782,예산세출,8750000,823529000,90720000,360988000,0,50000,2025
S090003784,예산세출,3660000,316501000,27500000,168021000,0,10000,2025
S090003786,예산세출,8480000,216198000,19499000,290833000,0,0,2025
S090003787,예산세출,10200000,439560000,51932000,347633000,0,0,2025
S090003788,예산세출,8804000,127077000,25326000,178571000,0,0,2025
S090003789,예산세출,8350000,39721000,17028000,219713000,0,0,2025
S090003790,예산세출,4350000,1044833000,73283000,403824000,0,0,2025
S090003791,예산세출,5300000,418170000,71160000,346214000,0,0,2025
S090003792,예산세출,6550000,193530000,24410000,156336000,0,0,2025
S090003793,예산세출,5600000,276303000,13360000,234595000,0,0,2025
S090003794,예산세출,7880000,598892000,35740000,297271000,0,0,2025
S090003795,예산세출,8570000,312892000,26986000,188716000,0,0,2025
S090003798,예산세출,6060000,101223000,29747000,221659000,0,0,2025
S090003799,예산세출,9035000,606668000,77275000,342431000,0,0,2025
S090003800,예산세출,7170000,259748000,30458000,247118000,0,0,2025
S090003876,예산세출,3875000,53220000,11781000,244783000,0,0,2025
S090003877,예산세출,10310000,431506000,31042000,222440000,0,0,2025
S090003878,예산세출,2320000,63943000,28110000,265502000,0,0,2025
S090003879,예산세출,6220000,97863000,37922000,204553000,0,0,2025
S090003881,예산세출,9900000,560824000,143071000,382489000,0,0,2025
S090003882,예산세출,6700000,558322000,52032000,306336000,0,45000,2025
S090003883,예산세출,6030000,286000000,20844000,260232000,0,0,2025
S090003884,예산세출,9665000,107981000,31179000,142051000,0,0,2025
S090003885,예산세출,5750000,101491000,24450000,231130000,0,0,2025
S090003886,예산세출,6120000,117797000,24876000,228979000,0,14000,2025
S090003887,예산세출,2180000,395194000,25735000,256101000,0,0,2025
S090003888,예산세출,5620000,66384000,33706000,195594000,0,0,2025
S090003889,예산세출,11400000,699030000,32917000,336595000,0,300000,2025
S090003890,예산세출,8980000,817752000,44293000,403994000,0,0,2025
S090003892,예산세출,35250000,541467000,39967000,299081000,0,0,2025
S090003893,예산세출,4820000,127080000,14748000,215993000,0,0,2025
S090003894,예산세출,6840000,402536000,36510000,275009000,0,0,2025
S090003896,예산세출,3830000,39632000,34118000,259284000,0,0,2025
S090003897,예산세출,3000000,309574000,30880000,225341000,0,0,2025
S090003898,예산세출,5570000,50687000,30111000,171561000,19835000,0,2025
S090003900,예산세출,9760000,43002000,33073000,228481000,0,0,2025
S090003901,예산세출,6440000,312835000,19176000,221972000,0,100000,2025
S090003903,예산세출,6210000,33084000,19316000,213504000,0,0,2025
S090003904,예산세출,6190000,404191000,15700000,272733000,0,0,2025
S090003905,예산세출,7820000,115649000,38000000,211686000,0,0,2025
S090003906,예산세출,4930000,132425000,15370000,239573000,0,0,2025
S090003908,예산세출,4000000,60552000,24315000,204317000,0,0,2025
S090003909,예산세출,10000000,1364748000,40970000,444556000,0,0,2025
S090003911,예산세출,4650000,502705000,24305000,299012000,1200000,0,2025
S090003913,예산세출,7220000,822538000,55953000,409899000,0,0,2025
S090003914,예산세출,13140000,1835780000,63120000,470919000,0,0,2025
S090003915,예산세출,4320000,97697000,23691000,218602000,0,0,2025
S090003916,예산세출,2700000,695509000,31386000,327336000,0,0,2025
S090003917,예산세출,2910000,71938000,24218000,190911000,0,0,2025
S090003919,예산세출,3975000,391368000,29897000,391585000,0,0,2025
S090003920,예산세출,8200000,752519000,28755000,405432000,0,0,2025
S090003921,예산세출,7500000,969369000,43890000,375701000,0,0,2025
S090003922,예산세출,9430000,282265000,29080000,245977000,15000000,0,2025
S090003923,예산세출,1810000,131986000,45042000,213017000,0,0,2025
S090004009,예산세출,7540000,30209000,19649000,196800000,0,0,2025
S090004010,예산세출,2840000,287985000,33412000,272609000,0,0,2025
S090004011,예산세출,8270000,120171000,19262000,204896000,0,0,2025
S090004013,예산세출,13910000,1733446000,98179000,498329000,0,0,2025
S090004015,예산세출,4000000,330253000,32700000,240599000,0,0,2025
S090004017,예산세출,3470000,322517000,19869000,301813000,0,0,2025
